"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","81089","","","","0"
"2011","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","86668","","","","0"
"2012","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","91973","","","","0"
"2013","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","96472","","","","0"
"2014","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","102483","","","","0"
"2015","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","108641","","","","0"
"2016","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","115792","","","","0"
"2017","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","122800","","","","0"
"2018","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","136526","","","","0"
"2019","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","152902","","","","0"
"2020","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","131993","","","","0"
"2021","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","148997","","","","0"
"2022","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","172970","","","","0"
"2023","Canada","2016A000011124","Receipts","Services","All countries","Dollars","81","millions","6","v61914334","1.1.5.1","200585","","","","0"
"2010","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","62872","","","","0"
"2011","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","69429","","","","0"
"2012","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","72987","","","","0"
"2013","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","75780","","","","0"
"2014","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","86043","","","","0"
"2015","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","92424","","","","0"
"2016","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","97904","","","","0"
"2017","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","116567","","","","0"
"2018","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","136826","","","","0"
"2019","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","147386","","","","0"
"2020","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","132330","","","","0"
"2021","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","147839","","","","0"
"2022","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","172943","","","","0"
"2023","Canada","2016A000011124","Receipts","Primary income","All countries","Dollars","81","millions","6","v61914382","1.1.11.1","222770","","","","0"
"2010","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1235","","","","0"
"2011","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1214","","","","0"
"2012","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1254","","","","0"
"2013","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1377","","","","0"
"2014","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1493","","","","0"
"2015","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1629","","","","0"
"2016","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1709","","","","0"
"2017","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1645","","","","0"
"2018","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1679","","","","0"
"2019","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1740","","","","0"
"2020","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1102","","","","0"
"2021","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1043","","","","0"
"2022","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1124","","","","0"
"2023","Canada","2016A000011124","Receipts","Compensation of employees","All countries","Dollars","81","millions","6","v61914390","1.1.12.1","1144","","","","0"
"2010","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","61637","","","","0"
"2011","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","68215","","","","0"
"2012","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","71734","","","","0"
"2013","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","74403","","","","0"
"2014","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","84550","","","","0"
"2015","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","90794","","","","0"
"2016","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","96195","","","","0"
"2017","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","114922","","","","0"
"2018","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","135148","","","","0"
"2019","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","145646","","","","0"
"2020","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","131228","","","","0"
"2021","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","146797","","","","0"
"2022","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","171819","","","","0"
"2023","Canada","2016A000011124","Receipts","Investment income","All countries","Dollars","81","millions","6","v61914398","1.1.13.1","221626","","","","0"
"2010","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","38612","","","","0"
"2011","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","43985","","","","0"
"2012","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","45050","","","","0"
"2013","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","45782","","","","0"
"2014","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","52065","","","","0"
"2015","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","53465","","","","0"
"2016","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","54042","","","","0"
"2017","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","70283","","","","0"
"2018","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","81697","","","","0"
"2019","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","81765","","","","0"
"2020","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","76409","","","","0"
"2021","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","98077","","","","0"
"2022","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","107637","","","","0"
"2023","Canada","2016A000011124","Receipts","Direct investment income","All countries","Dollars","81","millions","6","v61914406","1.1.14.1","117340","","","","0"
"2010","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","17940","","","","0"
"2011","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","19032","","","","0"
"2012","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","20993","","","","0"
"2013","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","23146","","","","0"
